RAM 1269/7846MB (lfb 1394x4MB) CPU [0%@2033,0%@2035,0%@2034,0%@2033,0%@2036,0%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 4%@1300 APE 150 MTS fg 1% bg 4% BCPU@39C MCPU@39C GPU@36C PLL@39C Tboard@32C Tdiode@34.75C PMIC@100C thermal@37.6C VDD_IN 8554/8554 VDD_CPU 4048/4048 VDD_GPU 225/225 VDD_SOC 1201/1201 VDD_WIFI 38/38 VDD_DDR 1629/1629
RAM 1269/7846MB (lfb 1394x4MB) CPU [52%@2034,97%@2034,51%@2034,52%@2035,47%@2033,47%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39C MCPU@39C GPU@35.5C PLL@39C Tboard@32C Tdiode@34.75C PMIC@100C thermal@37.6C VDD_IN 8554/8554 VDD_CPU 4048/4048 VDD_GPU 225/225 VDD_SOC 1201/1201 VDD_WIFI 38/38 VDD_DDR 1610/1619
RAM 1269/7846MB (lfb 1394x4MB) CPU [52%@2033,97%@2034,51%@2035,46%@2033,48%@2036,45%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39C MCPU@39C GPU@36C PLL@39C Tboard@32C Tdiode@34.75C PMIC@100C thermal@37.6C VDD_IN 8517/8541 VDD_CPU 4048/4048 VDD_GPU 300/250 VDD_SOC 1201/1201 VDD_WIFI 38/38 VDD_DDR 1648/1629
RAM 1269/7846MB (lfb 1394x4MB) CPU [52%@2035,97%@2036,47%@2035,45%@2034,50%@2035,48%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39C MCPU@39C GPU@36C PLL@39C Tboard@32C Tdiode@35C PMIC@100C thermal@37.8C VDD_IN 8554/8544 VDD_CPU 4048/4048 VDD_GPU 300/262 VDD_SOC 1201/1201 VDD_WIFI 38/38 VDD_DDR 1629/1629
RAM 1269/7846MB (lfb 1394x4MB) CPU [56%@2034,98%@2036,52%@2034,51%@2035,46%@2034,50%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 5%@1300 APE 150 MTS fg 0% bg 3% BCPU@39.5C MCPU@39.5C GPU@35.5C PLL@39.5C Tboard@32C Tdiode@35C PMIC@100C thermal@38.1C VDD_IN 8704/8576 VDD_CPU 4123/4063 VDD_GPU 225/255 VDD_SOC 1201/1201 VDD_WIFI 115/53 VDD_DDR 1648/1632
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2036,98%@2034,50%@2035,49%@2034,48%@2034,52%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 10%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35C PMIC@100C thermal@38.1C VDD_IN 8667/8591 VDD_CPU 4123/4073 VDD_GPU 300/262 VDD_SOC 1201/1201 VDD_WIFI 96/60 VDD_DDR 1629/1632
RAM 1269/7846MB (lfb 1394x4MB) CPU [50%@2036,97%@2034,51%@2034,49%@2034,50%@2033,48%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 3%@1300 APE 150 MTS fg 0% bg 1% BCPU@39C MCPU@39C GPU@36C PLL@39C Tboard@32C Tdiode@35C PMIC@100C thermal@37.8C VDD_IN 8629/8597 VDD_CPU 4123/4080 VDD_GPU 300/267 VDD_SOC 1201/1201 VDD_WIFI 96/65 VDD_DDR 1629/1631
RAM 1269/7846MB (lfb 1394x4MB) CPU [55%@2033,62%@2035,75%@2034,49%@2032,46%@2035,50%@2037] EMC_FREQ 6%@1866 GR3D_FREQ 9%@1300 APE 150 MTS fg 0% bg 1% BCPU@39C MCPU@39C GPU@36C PLL@39C Tboard@32C Tdiode@35C PMIC@100C thermal@37.8C VDD_IN 8479/8582 VDD_CPU 3975/4067 VDD_GPU 225/262 VDD_SOC 1201/1201 VDD_WIFI 96/69 VDD_DDR 1629/1631
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2033,52%@2035,97%@2034,51%@2033,48%@2035,50%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 1% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35C PMIC@100C thermal@37.8C VDD_IN 8517/8575 VDD_CPU 4123/4073 VDD_GPU 300/266 VDD_SOC 1201/1201 VDD_WIFI 38/65 VDD_DDR 1629/1631
RAM 1269/7846MB (lfb 1394x4MB) CPU [52%@2034,53%@2035,94%@2034,50%@2034,49%@2034,48%@2035] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39C MCPU@39C GPU@36C PLL@39C Tboard@32C Tdiode@35.25C PMIC@100C thermal@38.1C VDD_IN 8554/8572 VDD_CPU 4123/4078 VDD_GPU 300/270 VDD_SOC 1201/1201 VDD_WIFI 38/63 VDD_DDR 1629/1630
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2034,56%@2034,91%@2038,48%@2033,47%@2036,48%@2036] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 3% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35C PMIC@100C thermal@38.1C VDD_IN 8592/8574 VDD_CPU 4123/4082 VDD_GPU 225/265 VDD_SOC 1201/1201 VDD_WIFI 38/60 VDD_DDR 1629/1630
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2031,51%@2035,97%@2034,49%@2033,48%@2025,49%@2031] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39C MCPU@39C GPU@36C PLL@39C Tboard@32C Tdiode@35.25C PMIC@100C thermal@37.8C VDD_IN 8554/8572 VDD_CPU 4048/4079 VDD_GPU 225/262 VDD_SOC 1201/1201 VDD_WIFI 38/58 VDD_DDR 1648/1632
